"","x"
"1","Polypodiales"
"2","Cyatheales"
"3","Gleicheniales"
"4","Equisetales"
"5","Hymenophyllales"
"6","Isoetales"
"7","Lycopodiales"
"8","Marattiales"
"9","Salviniales"
"10","Ophioglossales"
"11","Osmundales"
"12","Psilotales"
"13","Schizaeales"
"14","Selaginellales"
"15","Lamiales"
"16","Malpighiales"
"17","Caryophyllales"
"18","Acorales"
"19","Ericales"
"20","Berberidopsidales"
"21","Brassicales"
"22","Alismatales"
"23","Asterales"
"24","Liliales"
"25","Saxifragales"
"26","Myrtales"
"27","Bruniales"
"28","Asparagales"
"29","Amborellales"
"30","Sapindales"
"31","Cucurbitales"
"32","Magnoliales"
"33","Oxalidales"
"34","Crossosomatales"
"35","Apiales"
"36","Gentianales"
"37","Aquifoliales"
"38","Arecales"
"39","Piperales"
"40","Geraniales"
"41","Poales"
"42","Laurales"
"43","Austrobaileyales"
"44","Santalales"
"45","Rosales"
"46","Ranunculales"
"47","Fagales"
"48","Fabales"
"49","Malvales"
"50","Boraginales"
"51","Dioscoreales"
"52","Buxales"
"53","Nymphaeales"
"54","Canellales"
"55","Zingiberales"
"56","Dipsacales"
"57","Celastrales"
"58","Ceratophyllales"
"59","Chloranthales"
"60","Commelinales"
"61","Solanales"
"62","Cornales"
"63","Pandanales"
"64","Dilleniales"
"65","Huerteales"
"66","Escalloniales"
"67","Garryales"
"68","Gunnerales"
"69","Zygophyllales"
"70","Proteales"
"71","Paracryphiales"
"72","Petrosaviales"
"73","Picramniales"
"74","Trochodendrales"
"75","Vitales"
"76","Araucariales"
"77","Cupressales"
"78","Pinales"
"79","Podocarpales"
"80","Cycadales"
"81","Ephedrales"
"82","Ginkgoales"
"83","Gnetales"
"84","Welwitschiales"
"85",NA
"86","Glaucidiales"
